Nr	Enhet	Kurskod	Version	Faststalld	benamning	Enhetsnamn	creator
6820	241	SH0071	1	2008-06-02	Skogsskötsel och inventering	Institutionen för skogens ekologi och skötsel	seksko
6821	241	SH0072	1	2008-06-02	Ved och virkesråvaror: produktion, egenskaper och användning	Institutionen för skogens ekologi och skötsel	seksko
6822	241	SH0073	1	2008-06-02	Virkeslära	Institutionen för skogens ekologi och skötsel	seksko
6823	893	SH0074	1	2007-02-15	Projektarbete	Fakulteten för skogsvetenskap	sfak
6824	231	SH0075	1	2008-06-02	Förädling av skogsråvara - från skog till slutprodukt	Institutionen för skogens produkter	sprod
6825	231	SH0076	1	2008-06-02	Skogsbruk, grundkurs	Institutionen för skogens produkter	sprod
6826	260	SH0077	1	2008-06-02	Affärsprocesser och informationssystem i virkesförsörjning	Institutionen för skoglig resurshushållning	srh
6827	260	SH0078	1	2008-06-02	Geografisk informationsteknik (GIT) I	Institutionen för skoglig resurshushållning	srh
6828	260	SH0079	1	2008-06-02	GIT II (Geografisk informationsteknik II)	Institutionen för skoglig resurshushållning	srh
6829	260	SH0080	1	2008-06-02	Internationell skogspolitik	Institutionen för skoglig resurshushållning	srh
6830	260	SH0081	1	2008-06-02	Mångbruksplanering i skogslandskapet	Institutionen för skoglig resurshushållning	srh
6831	260	SH0082	1	2008-06-02	Operativ styrning av virkesleveranser	Institutionen för skoglig resurshushållning	srh
6832	260	SH0083	1	2008-06-02	Skogens produktion och förädling	Institutionen för skoglig resurshushållning	srh
6833	260	SH0084	1	2008-06-02	Skoglig fjärranalys	Institutionen för skoglig resurshushållning	srh
6834	260	SH0085	1	2008-06-02	Skoglig planering ur ett företagsperspektiv	Institutionen för skoglig resurshushållning	srh
6835	260	SH0086	1	2008-06-02	Skogsbrukets organisationsutveckling	Institutionen för skoglig resurshushållning	srh
6836	241	SH0087	1	2008-11-27	Skogsskötsel - fördjupningskurs	Institutionen för skogens ekologi och skötsel	seksko
6837	260	SH0088	1	2008-06-02	Skogsbruksplanering	Institutionen för skoglig resurshushållning	srh
6838	260	SH0089	1	2008-06-02	Skogsindustriell försörjningsstrategi	Institutionen för skoglig resurshushållning	srh
6839	260	SH0090	1	2008-06-02	Skogsteknologi	Institutionen för skoglig resurshushållning	srh
6840	260	SH0091	1	2008-06-02	Utveckling av skogsteknologi	Institutionen för skoglig resurshushållning	srh
6841	300	SH0092	1	2008-06-02	Primärproduktionens ekonomi	Institutionen för skogsekonomi	sekon
6842	300	SH0093	1	2008-06-02	Skogsekonomisk grundkurs	Institutionen för skogsekonomi	sekon
6843	300	SH0094	1	2008-06-02	Skogspolitik	Institutionen för skogsekonomi	sekon
6844	295	SH0095	1	2008-06-02	Hållbart skogsbruk - koncept, modellering och en fallstudie	Institutionen för sydsvensk skogsvetenskap	ess
6845	295	SH0096	1	2008-06-02	Hållbart skogsbruk i södra Sverige	Institutionen för sydsvensk skogsvetenskap	ess
6846	295	SH0097	1	2008-06-02	Lövskogens skötsel och lövvirkets användning	Institutionen för sydsvensk skogsvetenskap	ess
6847	295	SH0098	1	2008-06-02	Skogen och samhället: processer, samspel och policies	Institutionen för sydsvensk skogsvetenskap	ess
6848	295	SH0099	1	2008-06-02	Ädellövskog - ekologi, naturvård och skötsel	Institutionen för sydsvensk skogsvetenskap	ess
6849	637	SH0100	1	2008-06-02	Skogsskötsel i urbana sammanhang	Landskapsutveckling	ltv
6850	210	SH0101	1	2008-06-02	Internationell kurs - Marknadsföring av trävaror	Skogsmästarskolan	sms
6851	241	SH0102	1	2008-11-27	Marknadsinriktad virkesförsörjning	Institutionen för skogens ekologi och skötsel	seksko
6852	231	SH0103	1	2008-11-27	Förädling av skogsråvara - industriprocesser och produkter	Institutionen för skogens produkter	sprod
6853	231	SH0104	1	2008-11-27	Skogsbruk och virkesproduktion	Institutionen för skogens produkter	sprod
6854	295	SH0105	1	2009-04-30	Mångbruksfrågor och uthållighetsfrågor i sydsvenskt skogsbruk	Institutionen för sydsvensk skogsvetenskap	ess
6855	260	SH0106	1	2009-11-19	Skogsbrukets organisationsutveckling	Institutionen för skoglig resurshushållning	srh
6856	210	SH0107	1	2010-03-30	European Bioenergy Markets	Skogsmästarskolan	sms
6857	893	SH0108	1	2009-11-19	Projektarbete	Fakulteten för skogsvetenskap	sfak
6858	231	SH0109	1	2009-11-19	Förädling av skogsråvara - industriprocesser och produkter	Institutionen för skogens produkter	sprod
6859	300	SH0110	1	2009-11-19	Skogsbruk och virkesproduktion	Institutionen för skogsekonomi	sekon
6860	300	SH0110	2	2013-10-30	Skogsbruk och virkesproduktion	Institutionen för skogsekonomi	sekon
6861	231	SH0111	1	2010-11-03	Fastighetsvärdering	Institutionen för skogens produkter	sprod
6862	300	SH0112	1	2010-09-28	Skogsekonomisk grundkurs	Institutionen för skogsekonomi	sekon
6863	241	SH0113	1	2011-06-22	Sustainable Management of Boreal Forests	Institutionen för skogens ekologi och skötsel	seksko
6864	545	SH0114	1	2011-10-19	Bioraffinaderi och förädlade biobränslen	Institutionen för skogens biomaterial och teknologi	sbt
6865	545	SH0114	2	2012-10-18	Bioraffinaderi och förädlade biobränslen	Institutionen för skogens biomaterial och teknologi	sbt
6866	241	SH0115	1	2011-10-19	Silviculture - Advanced Course	Institutionen för skogens ekologi och skötsel	seksko
6867	241	SH0116	1	2011-10-19	International Silviculture	Institutionen för skogens ekologi och skötsel	seksko
6868	545	SH0117	1	2011-10-19	Wood Raw Materials: Production, Properties and  Use	Institutionen för skogens biomaterial och teknologi	sbt
6869	545	SH0118	1	2011-10-19	Produktkrav - Förädlingsteknik - Vedråvara	Institutionen för skogens biomaterial och teknologi	sbt
6870	241	SH0119	1	2011-10-19	Sustainable management of Boreal Forests	Institutionen för skogens ekologi och skötsel	seksko
6871	300	SH0120	1	2011-10-19	Forest Policy	Institutionen för skogsekonomi	sekon
6872	300	SH0120	2	2013-10-30	Forest Policy	Institutionen för skogsekonomi	sekon
6873	300	SH0121	1	2011-10-19	Svensk och internationell skogspolitik	Institutionen för skogsekonomi	sekon
6874	260	SH0122	1	2011-10-19	Laserskanning och digital fotogrammetri i skogsbruket	Institutionen för skoglig resurshushållning	srh
6875	260	SH0122	2	2012-03-15	Laserskanning och digital fotogrammetri i skogsbruket	Institutionen för skoglig resurshushållning	srh
6876	545	SH0123	1	2011-10-19	Skogsindustriell försörjningsstrategi	Institutionen för skogens biomaterial och teknologi	sbt
6877	545	SH0124	1	2011-10-19	Innovations in Nordic Forest Technology	Institutionen för skogens biomaterial och teknologi	sbt
6878	545	SH0125	1	2011-10-19	Operativ styrning av virkesleveranser	Institutionen för skogens biomaterial och teknologi	sbt
6879	260	SH0126	1	2011-10-19	Projektarbete	Institutionen för skoglig resurshushållning	srh
6880	545	SH0127	1	2011-10-19	Affärsprocesser och informationssystem i virkesförsörjning	Institutionen för skogens biomaterial och teknologi	sbt
6881	260	SH0128	1	2011-10-19	GIT II (Geographical Information technology II)	Institutionen för skoglig resurshushållning	srh
6882	260	SH0129	1	2011-10-19	Forest Remote Sensing	Institutionen för skoglig resurshushållning	srh
6883	260	SH0130	1	2011-10-19	Skoglig planering ur ett företagsperspektiv	Institutionen för skoglig resurshushållning	srh
6884	260	SH0131	1	2011-10-19	Skogsbruket ur organisationsteoretiskt perspektiv	Institutionen för skoglig resurshushållning	srh
6885	295	SH0132	1	2011-10-19	Sustainable Forestry in Southern Sweden	Institutionen för sydsvensk skogsvetenskap	ess
6886	295	SH0133	1	2011-10-19	Planning in Sustainable Forest Management	Institutionen för sydsvensk skogsvetenskap	ess
6887	295	SH0134	1	2011-10-19	National and International Forest Policy	Institutionen för sydsvensk skogsvetenskap	ess
6888	295	SH0135	1	2011-10-19	Broadleaves: Ecology, Nature Conservation, Silviculture	Institutionen för sydsvensk skogsvetenskap	ess
6889	295	SH0136	1	2011-10-19	Silviculture of temperate forests	Institutionen för sydsvensk skogsvetenskap	ess
6890	295	SH0137	1	2011-10-19	Tropical and Subtropical Silviculture	Institutionen för sydsvensk skogsvetenskap	ess
6891	210	SH0138	1	2012-11-30	Skogs- och jordbruksfastighetens värdering	Skogsmästarskolan	sms
6892	210	SH0138	2	2012-11-30	Skogs- och jordbruksfastighetens värdering	Skogsmästarskolan	sms
6893	300	SH0139	1	2013-10-30	Förmedling av skogs- och jordbruksfastigheter	Institutionen för skogsekonomi	sekon
6894	300	SH0140	1	2013-10-30	Forest Resource Economics	Institutionen för skogsekonomi	sekon
6895	260	SH0141	1	2013-12-03	Skogliga hållbarhetsanalyser	Institutionen för skoglig resurshushållning	srh
6896	210	SH0142	1	2013-12-19	Sustainable Use of Natural Resources in North America, International course	Skogsmästarskolan	sms
6897	545	SH0143	1	2014-09-16	Operativ styrning av virkesleveranser	Institutionen för skogens biomaterial och teknologi	sbt
6898	210	SH0144	1	2014-12-16	Skogen, marken, maskinen	Skogsmästarskolan	sms
6899	210	SH0144	2	2014-12-16	Skogen, marken, maskinen	Skogsmästarskolan	sms
6900	210	SH0144	3	2021-11-17	Skogen, marken, maskinen	Skogsmästarskolan	sms
6901	210	SH0145	1	2014-12-16	Skogens värdekedja	Skogsmästarskolan	sms
6902	210	SH0145	2	2014-12-16	Skogens värdekedja	Skogsmästarskolan	sms
6903	210	SH0145	3	2021-11-17	Skogens värdekedja	Skogsmästarskolan	sms
6904	210	SH0146	1	2014-12-16	Skoglig produktion och miljö	Skogsmästarskolan	sms
6905	210	SH0146	2	2014-12-16	Skoglig produktion och miljö	Skogsmästarskolan	sms
6906	210	SH0146	3	2021-11-17	Skoglig produktion och miljö	Skogsmästarskolan	sms
6907	210	SH0147	1	2014-12-16	Skogliga beslutsunderlag	Skogsmästarskolan	sms
6908	210	SH0147	2	2014-12-16	Skogliga beslutsunderlag	Skogsmästarskolan	sms
6909	210	SH0147	3	2021-11-17	Skogliga beslutsunderlag	Skogsmästarskolan	sms
6910	260	SH0148	1	2014-12-16	Remote sensing and forest inventory	Institutionen för skoglig resurshushållning	srh
6911	210	SH0149	1	2015-11-11	Skoglig affärskunskap och verksamhetsledning	Skogsmästarskolan	sms
6912	210	SH0149	2	2015-11-11	Skoglig affärskunskap och verksamhetsledning	Skogsmästarskolan	sms
6913	210	SH0150	1	2015-11-11	Skogsskötsel 1	Skogsmästarskolan	sms
6914	210	SH0150	2	2015-11-11	Skogsskötsel 1	Skogsmästarskolan	sms
6915	210	SH0151	1	2015-11-11	Skogsskötsel 2	Skogsmästarskolan	sms
6916	210	SH0151	2	2015-11-11	Skogsskötsel 2	Skogsmästarskolan	sms
6917	210	SH0152	1	2015-11-11	Skoglig driftsledning	Skogsmästarskolan	sms
6918	210	SH0153	1	2015-11-11	Vägar och vatten	Skogsmästarskolan	sms
6919	210	SH0153	2	2015-11-11	Vägar och vatten	Skogsmästarskolan	sms
6920	210	SH0154	1	2015-11-11	Skoglig planering	Skogsmästarskolan	sms
6921	210	SH0154	2	2015-11-11	Skoglig planering	Skogsmästarskolan	sms
6922	210	SH0155	1	2015-11-11	Skogsgården Företaget	Skogsmästarskolan	sms
6923	210	SH0155	2	2015-11-11	Skogsgården Företaget	Skogsmästarskolan	sms
6924	210	SH0156	1	2015-11-11	Trade and Marketing of Wood Products - International Course	Skogsmästarskolan	sms
6925	210	SH0156	2	2015-11-11	Trade and Marketing of Wood Products - International Course	Skogsmästarskolan	sms
6926	300	SH0157	1	2015-11-19	Skogsbruk och virkesproduktion	Institutionen för skogsekonomi	sekon
6927	300	SH0158	1	2016-12-02	Skogsbruk och virkesproduktion	Institutionen för skogsekonomi	sekon
6928	300	SH0158	2	2016-12-02	Skogsbruk och virkesproduktion	Institutionen för skogsekonomi	sekon
6929	210	SH0159	1	2017-11-15	Skoglig driftsledning	Skogsmästarskolan	sms
6930	210	SH0159	2	2017-11-15	Skoglig driftsledning	Skogsmästarskolan	sms
6931	210	SH0159	3	2017-11-15	Skoglig driftsledning	Skogsmästarskolan	sms
6932	210	SH0160	1	2019-02-27	Kolning och skogshistoria	Skogsmästarskolan	sms
6933	210	SH0161	1	2020-04-28	Kolning och skogshistoria	Skogsmästarskolan	sms
6934	210	SH0162	1	2020-11-11	Skogsskötsel 1	Skogsmästarskolan	sms
6935	210	SH0163	1	2020-11-11	Skogsskötsel 2	Skogsmästarskolan	sms
6936	275	SH4001	1	1997-12-16	Lövträdsodling	Institutionen för skogshushållning	unk
6937	210	SH4002	1	1997-12-18	Internationellt skogsbruk	Skogsmästarskolan	sms
6938	360	SH4003	1	1997-12-16	Ståndortslära	Institutionen för skoglig marklära	sml
6939	231	SH4004	1	1997-03-17	Skogsekonomi och skoglig planering	Institutionen för skogens produkter	sprod
6940	230	SH4009	1	1997-09-15	Skog-industri-marknad	Institutionen för skogens produkter och marknader	unk
6941	260	SH4010	1	1997-05-26	Skoglig planering ur ett nationellt perspektiv	Institutionen för skoglig resurshushållning	srh
6942	260	SH4011	1	1997-09-15	Skoglig fjärranalys	Institutionen för skoglig resurshushållning	srh
6943	260	SH4013	1	1997-05-26	Operativ planering	Institutionen för skoglig resurshushållning	srh
6944	260	SH4014	1	1997-09-15	Skoglig planering ur ett företagsperspektiv	Institutionen för skoglig resurshushållning	srh
6945	260	SH4015	1	1997-05-26	Optimering av beståndets skötsel	Institutionen för skoglig resurshushållning	srh
6946	240	SH4016	1	1996-11-20	Svenskt skogsbruk, grunder	Institutionen för skogsskötsel	ssko
6947	240	SH4017	1	1997-05-26	Skogsträdsreproduktion	Institutionen för skogsskötsel	ssko
6948	240	SH4019	1	1997-05-26	Skötsel, produktion och användning av trädslag med högt virkesvärde	Institutionen för skogsskötsel	ssko
6949	240	SH4020	1	1997-03-17	Skogsskötsel	Institutionen för skogsskötsel	ssko
6950	240	SH4021	1	1997-05-26	Tillämpad skogsskötsel	Institutionen för skogsskötsel	ssko
6951	230	SH4022	1	1997-10-29	Skogsskötsel, teorier och principer	Institutionen för skogens produkter och marknader	unk
6952	240	SH4023	1	1997-05-26	Skogsfröbiologi och teknologi	Institutionen för skogsskötsel	ssko
6953	240	SH4024	1	1997-09-15	Virkesproduktion	Institutionen för skogsskötsel	ssko
6954	295	SH4025	1	1997-12-01	Möjligheter och problem i sydsvensk skogsskötsel	Institutionen för sydsvensk skogsvetenskap	ess
6955	295	SH4026	1	1997-10-29	Hållbart skogsbruk i södra Sverige	Institutionen för sydsvensk skogsvetenskap	ess
6956	295	SH4027	1	1997-10-29	Skogsbruk i länderna kring södra Östersjön	Institutionen för sydsvensk skogsvetenskap	ess
6957	275	SH4028	1	1997-10-29	Skogsskötsel och skogsmarkens nyttjande i Europa	Institutionen för skogshushållning	unk
6958	110	SH4030	1	1997-05-26	Skogsvetenskaplig grundkurs, Umeå	Skogsvetenskapliga fakulteten	unk
6959	110	SH4032	1	1997-05-26	Skogsvetenskaplig grundkurs, Uppsala	Skogsvetenskapliga fakulteten	unk
6960	260	SH4035	1	1997-03-17	Skogsbruksplanering och skoglig flygbildsteknik	Institutionen för skoglig resurshushållning	srh
6961	230	SH4036	1	1997-03-17	Virkeslära I	Institutionen för skogens produkter och marknader	unk
6962	231	SH4037	1	1997-09-15	Förädlingsteknik I	Institutionen för skogens produkter	sprod
6963	240	SH4038	1	1997-09-15	Virkeslära II	Institutionen för skogsskötsel	ssko
6964	230	SH4039	1	1997-10-29	Virkeslära III	Institutionen för skogens produkter och marknader	unk
6965	315	SH4040	1	1998-09-22	Vedens struktur	Institutionen för trävetenskap	unk
6966	315	SH4041	1	1998-09-22	Träbiologi med inriktning mot träskydd	Institutionen för trävetenskap	unk
6967	240	SH4042	1	1998-11-18	Skogsträdsreproduktion i tropiska områden	Institutionen för skogsskötsel	ssko
6968	480	SH4043	1	1998-11-18	Kvantitativ genetik och trädförädling	Institutionen för växtbiologi	vbsg
6969	240	SH4044	1	1998-11-18	Plantproduktion	Institutionen för skogsskötsel	ssko
6970	240	SH4045	1	1998-11-18	Naturvårdsinriktad skogsskötsel	Institutionen för skogsskötsel	ssko
6971	240	SH4046	1	1998-11-18	Lövskogens skötsel och lövvirkets användning	Institutionen för skogsskötsel	ssko
6972	240	SH4047	1	1998-11-18	Fördjupningskurs i skogsskötsel	Institutionen för skogsskötsel	ssko
6973	275	SH4048	1	1997-12-01	Skogsteknik	Institutionen för skogshushållning	unk
6974	270	SH4049	1	1998-11-25	Skogshushållning för biologer	Institutionen för bioenergi	unk
6975	240	SH4050	1	1998-11-18	Skogen, landskapet och människan	Institutionen för skogsskötsel	ssko
6976	295	SH4051	1	1999-10-18	Uthålligt skogsbruk i södra Sverige	Institutionen för sydsvensk skogsvetenskap	ess
6977	260	SH4052	1	1999-10-25	Skoglig planering inom svenska skogsföretag	Institutionen för skoglig resurshushållning	srh
6978	240	SH4053	1	2002-06-11	Skogen och dess värden	Institutionen för skogsskötsel	ssko
6979	240	SH4054	1	1999-10-25	Plantproduktion i plantskolor	Institutionen för skogsskötsel	ssko
6980	240	SH4055	1	1999-10-25	Skogsföryngring	Institutionen för skogsskötsel	ssko
6981	240	SH4057	1	1999-10-25	Skogsproduktion	Institutionen för skogsskötsel	ssko
6982	240	SH4058	1	1999-10-25	Skogsreproduktion och fröhantering	Institutionen för skogsskötsel	ssko
6983	240	SH4059	1	1999-10-25	Tropisk skogsreproduktion	Institutionen för skogsskötsel	ssko
6984	240	SH4060	1	1999-10-25	Värdekedjan skog-såg-marknad	Institutionen för skogsskötsel	ssko
6985	231	SH4061	1	1999-10-28	Träbiologi med inriktning mot träskydd	Institutionen för skogens produkter	sprod
6986	210	SH4062	1	1999-11-01	Skogsgården Företaget	Skogsmästarskolan	sms
6987	240	SH4063	1	1999-10-30	Trädslag med högt virkesvärde	Institutionen för skogsskötsel	ssko
6988	260	SH4064	1	1999-10-25	GIS i skogsbruket	Institutionen för skoglig resurshushållning	srh
